approved_symbol,alias,identifier_location,paper_count,PMIDs
SCN5A,SCN5A,paragraph,39,"21347123, 22830024, 23105938, 23940833, 26467377, 26636822, 26798387, 27110552, 27485560, 28361098, 28491758, 28584071, 29101013, 31397097, 31482657, 32013205, 32386560, 32529721, 32814065, 34440456, 34490048, 34495297, 34957250, 35388217, 36140801, 36204818, 36269083, 36881552, 37547970, 37652022, 38776926, 38790267, 39354714, 39595119, 40136534, 40409267, 41000626, 41285725, 41299264"
SCN5A,SCN5A,ref,1,39068398
SCN5A,SCN5A,table,5,"23396983, 29101013, 32423033, 34722422, 37774423"
SCN5A,SCN5A,table_caption,2,"34552620, 37600057"
SDHAF2,SDHAF2,paragraph,4,"32688340, 32741965, 35668420, 37435466"
SDHAF2,SDHAF2,title_2,1,30030362
SDHB,SDHB,paragraph,18,"24000165, 27989324, 28011713, 28284009, 29909963, 30487145, 31034483, 31564436, 32688340, 32741965, 33151299, 34452955, 35388076, 35668420, 36685941, 37435466, 38455135, 42070091"
SDHB,SDHB,table,4,"22788692, 29909963, 33574476, 40107724"
SDHC,SDHC,paragraph,7,"28011713, 31564436, 32688340, 32741965, 35668420, 37435466, 41000626"
SDHC,SDHC,table,4,"22788692, 29909963, 33574476, 36062157"
SDHD,SDHD,paragraph,9,"27989324, 28011713, 31564436, 32688340, 32730690, 32741965, 35512711, 35668420, 37435466"
SDHD,SDHD,table,5,"29909963, 33006316, 33374749, 33574476, 34821131"
SMAD3,SMAD3,fig_caption,1,33724679
SMAD3,SMAD3,paragraph,14,"33968138, 34281165, 34680857, 34906513, 35002714, 35110524, 35874167, 36004822, 36495030, 36569843, 38195664, 38234087, 38538566, 40118890"
SMAD3,SMAD3,table,3,"33968138, 34463252, 38093316"
SMAD4,SMAD4,fig_caption,1,38457357
SMAD4,SMAD4,paragraph,17,"33834622, 35200700, 35792874, 36292575, 36373990, 36551963, 36810341, 36817313, 37731711, 38294582, 38540362, 39777438, 40100215, 40562378, 40564170, 41162588, 41915391"
SMAD4,SMAD4,table,7,"33574476, 34722540, 35456471, 36684555, 37894843, 38862462, 40018685"
SMAD4,SMAD4,table_foot,1,33649982
SMAD4,SMAD4,table_footnote,1,40073867
STK11,STK11,paragraph,28,"18495044, 22168747, 23448497, 23718779, 28265786, 28944238, 29141581, 29245219, 29685139, 29720104, 30441849, 30947698, 31125106, 31908716, 32573973, 32821921, 32886433, 32959997, 33118316, 33401422, 33513864, 35189935, 36551963, 36553480, 38734904, 39694700, 39804645, 40830517"
STK11,STK11,table,6,"22788692, 33574476, 34142658, 37081871, 37367950, 40289841"
STK11,STK11,table_foot,2,"33649982, 38355628"
TGFBR1,TGFBR1,paragraph,19,"21698135, 25205403, 28944238, 29802153, 31475485, 31569402, 32597575, 32848728, 33719213, 34010604, 34281165, 34498425, 34680857, 34906513, 35128805, 36569843, 36672844, 37719708, 38234087"
TGFBR1,TGFBR1,ref,1,35853811
TGFBR1,TGFBR1,table,8,"24612714, 29909963, 30108113, 30135512, 31462706, 33195419, 36569843, 39821172"
